OBD_No,OBD_Date,Goods_Issue_Time,Pick_Time,Pick_Date
19034715,9/24/2022,45:00.0,00:00.0,9/25/2022
19041390,0001-01-01,00:00.0,00:00.0,0001-01-01
19043051,12/21/2022,30:00.0,30:00.0,12/22/2022
19043872,10/1/2023,30:00.0,00:00.0,10/3/2023
19043932,0001-01-01,00:00.0,00:00.0,0001-01-01
19045273,11/27/2022,00:00.0,45:00.0,11/29/2022
19047050,6/27/2023,30:00.0,45:00.0,6/28/2023
19059549,5/20/2024,30:00.0,45:00.0,5/20/2024
19059595,11/17/2022,15:00.0,15:00.0,11/18/2022
19061506,9/19/2023,15:00.0,00:00.0,9/21/2023
19063074,10/4/2022,00:00.0,45:00.0,10/4/2022
19063649,12/10/2023,45:00.0,00:00.0,0001-01-01
19066901,0001-01-01,00:00.0,00:00.0,0001-01-01
19067690,10/4/2023,45:00.0,00:00.0,0001-01-01
19068358,10/2/2023,00:00.0,45:00.0,10/4/2023
19068973,0001-01-01,00:00.0,00:00.0,0001-01-01
19069088,5/28/2024,30:00.0,00:00.0,5/28/2024
19074514,11/22/2023,30:00.0,15:00.0,11/23/2023
19075671,7/22/2023,15:00.0,00:00.0,0001-01-01
19082067,7/27/2023,15:00.0,00:00.0,7/28/2023
19082258,9/17/2023,45:00.0,00:00.0,0001-01-01
19082707,12/30/2023,45:00.0,15:00.0,12/31/2023
19083764,0001-01-01,00:00.0,00:00.0,0001-01-01
19083766,10/23/2023,45:00.0,00:00.0,0001-01-01
19086101,4/27/2022,45:00.0,45:00.0,4/27/2022
19088003,4/17/2022,15:00.0,15:00.0,4/18/2022
19090527,8/15/2023,15:00.0,45:00.0,8/15/2023
19092645,4/30/2023,15:00.0,00:00.0,0001-01-01
19094010,1/11/2024,30:00.0,00:00.0,0001-01-01
19094821,0001-01-01,00:00.0,00:00.0,0001-01-01
19098394,12/16/2022,00:00.0,00:00.0,12/18/2022
19101470,0001-01-01,00:00.0,00:00.0,0001-01-01
19104802,0001-01-01,00:00.0,00:00.0,0001-01-01
19106790,9/6/2022,00:00.0,45:00.0,9/7/2022
19106960,7/6/2023,15:00.0,00:00.0,0001-01-01
19116647,5/13/2023,15:00.0,15:00.0,5/13/2023
19119076,1/13/2024,45:00.0,15:00.0,1/15/2024
19120472,1/26/2024,45:00.0,30:00.0,1/28/2024
19122502,11/13/2023,15:00.0,00:00.0,0001-01-01
19124796,4/18/2023,30:00.0,30:00.0,4/18/2023
19125094,0001-01-01,00:00.0,00:00.0,0001-01-01
19130222,0001-01-01,00:00.0,00:00.0,0001-01-01
19135154,7/13/2022,00:00.0,00:00.0,7/13/2022
19135437,5/19/2022,45:00.0,30:00.0,5/20/2022
19140575,8/18/2024,00:00.0,00:00.0,0001-01-01
19146881,11/15/2023,45:00.0,30:00.0,11/17/2023
19149798,1/7/2022,30:00.0,45:00.0,1/9/2022
19150490,0001-01-01,00:00.0,00:00.0,0001-01-01
19158341,0001-01-01,00:00.0,00:00.0,0001-01-01
19158638,0001-01-01,00:00.0,00:00.0,0001-01-01
19163334,9/13/2023,45:00.0,15:00.0,9/13/2023
19163338,11/28/2022,00:00.0,30:00.0,11/30/2022
19165226,1/4/2024,45:00.0,30:00.0,1/4/2024
19165577,8/4/2024,15:00.0,00:00.0,0001-01-01
19165963,1/13/2024,00:00.0,00:00.0,0001-01-01
19168351,12/15/2022,30:00.0,45:00.0,12/17/2022
19174378,10/4/2023,45:00.0,00:00.0,0001-01-01
19178028,9/23/2022,00:00.0,00:00.0,9/24/2022
19180999,7/10/2022,00:00.0,45:00.0,7/10/2022
19182050,9/14/2023,45:00.0,00:00.0,0001-01-01
19182316,11/30/2023,30:00.0,00:00.0,11/30/2023
19185716,0001-01-01,00:00.0,00:00.0,0001-01-01
19190725,0001-01-01,00:00.0,00:00.0,0001-01-01
19192196,5/5/2023,15:00.0,45:00.0,5/7/2023
19196142,12/24/2023,00:00.0,45:00.0,12/24/2023
19197017,1/1/2024,15:00.0,30:00.0,1/1/2024
19197910,1/29/2023,45:00.0,15:00.0,1/29/2023
19202924,10/12/2022,00:00.0,30:00.0,10/13/2022
19203537,0001-01-01,00:00.0,00:00.0,0001-01-01
19205956,3/4/2022,45:00.0,45:00.0,3/6/2022
19208698,0001-01-01,00:00.0,00:00.0,0001-01-01
19209640,5/15/2023,30:00.0,00:00.0,5/15/2023
19213212,0001-01-01,00:00.0,00:00.0,0001-01-01
19213734,7/18/2023,00:00.0,45:00.0,7/20/2023
19215034,10/24/2023,30:00.0,30:00.0,10/24/2023
19217027,7/30/2022,15:00.0,15:00.0,8/1/2022
19222194,0001-01-01,00:00.0,00:00.0,0001-01-01
19222246,6/29/2023,00:00.0,45:00.0,6/30/2023
19223541,1/26/2022,00:00.0,00:00.0,1/27/2022
19232076,8/16/2023,00:00.0,00:00.0,0001-01-01
19233013,1/3/2023,45:00.0,30:00.0,1/3/2023
19240560,5/12/2022,30:00.0,30:00.0,5/12/2022
19242243,1/12/2022,15:00.0,00:00.0,1/14/2022
19242345,9/24/2022,30:00.0,15:00.0,9/24/2022
19242440,10/29/2023,30:00.0,00:00.0,10/31/2023
19244458,2/1/2022,30:00.0,00:00.0,2/3/2022
19251149,12/14/2022,15:00.0,15:00.0,12/15/2022
19253422,12/15/2023,15:00.0,00:00.0,12/17/2023
19255216,11/6/2023,00:00.0,15:00.0,11/6/2023
19255218,2/20/2022,00:00.0,30:00.0,2/20/2022
19257551,3/27/2022,30:00.0,00:00.0,3/29/2022
19263592,3/26/2022,30:00.0,00:00.0,3/28/2022
19265460,0001-01-01,00:00.0,00:00.0,0001-01-01
19273236,1/1/2023,30:00.0,00:00.0,1/1/2023
19273371,8/3/2022,00:00.0,30:00.0,8/3/2022
19273697,0001-01-01,00:00.0,00:00.0,0001-01-01
19274392,0001-01-01,00:00.0,00:00.0,0001-01-01
19276427,5/11/2022,00:00.0,15:00.0,5/11/2022
19278000,1/22/2023,00:00.0,30:00.0,1/24/2023
19278953,2/18/2024,15:00.0,15:00.0,2/19/2024
19282319,0001-01-01,00:00.0,00:00.0,0001-01-01
19282918,8/26/2022,45:00.0,00:00.0,8/27/2022
19285283,5/22/2023,45:00.0,00:00.0,0001-01-01
19285918,8/8/2022,00:00.0,00:00.0,8/9/2022
19286585,7/5/2024,00:00.0,30:00.0,7/5/2024
19286610,12/2/2023,30:00.0,00:00.0,12/4/2023
19288587,3/9/2023,00:00.0,30:00.0,3/11/2023
19289546,5/24/2023,00:00.0,00:00.0,0001-01-01
19291420,5/30/2022,15:00.0,30:00.0,5/30/2022
19293581,8/27/2023,30:00.0,00:00.0,0001-01-01
19293775,8/28/2022,45:00.0,45:00.0,8/30/2022
19294513,9/1/2022,45:00.0,15:00.0,9/1/2022
19295792,1/21/2024,30:00.0,00:00.0,1/21/2024
19296843,1/13/2023,15:00.0,15:00.0,1/14/2023
19297424,2/19/2024,30:00.0,15:00.0,2/20/2024
19307232,2/10/2023,45:00.0,45:00.0,2/11/2023
19312412,3/28/2023,45:00.0,00:00.0,0001-01-01
19313264,3/15/2022,30:00.0,45:00.0,3/16/2022
19314787,10/28/2023,30:00.0,30:00.0,10/29/2023
19320635,5/15/2023,00:00.0,00:00.0,0001-01-01
19321973,7/18/2023,00:00.0,30:00.0,7/19/2023
19321974,5/21/2023,30:00.0,30:00.0,5/21/2023
19322043,2/27/2022,45:00.0,45:00.0,2/27/2022
19322956,6/7/2023,30:00.0,15:00.0,6/9/2023
19328821,3/15/2023,00:00.0,00:00.0,0001-01-01
19329244,1/28/2022,30:00.0,30:00.0,1/29/2022
19335534,11/21/2022,00:00.0,00:00.0,11/22/2022
19336610,2/12/2022,00:00.0,45:00.0,2/13/2022
19339029,5/17/2022,45:00.0,00:00.0,5/18/2022
19339597,4/26/2022,00:00.0,00:00.0,4/27/2022
19342578,0001-01-01,00:00.0,00:00.0,0001-01-01
19345898,10/3/2023,00:00.0,00:00.0,0001-01-01
19346008,11/3/2022,30:00.0,00:00.0,11/3/2022
19351330,0001-01-01,00:00.0,00:00.0,0001-01-01
19352129,3/4/2023,00:00.0,30:00.0,3/6/2023
19353583,11/5/2023,15:00.0,00:00.0,0001-01-01
19360323,3/28/2023,45:00.0,00:00.0,3/30/2023
19362037,1/14/2022,30:00.0,15:00.0,1/15/2022
19370518,0001-01-01,00:00.0,00:00.0,0001-01-01
19372830,0001-01-01,00:00.0,00:00.0,0001-01-01
19373966,3/15/2022,15:00.0,15:00.0,3/16/2022
19376920,0001-01-01,00:00.0,00:00.0,0001-01-01
19377308,10/29/2023,00:00.0,00:00.0,10/29/2023
19377315,2/18/2023,45:00.0,45:00.0,2/20/2023
19382555,1/19/2023,15:00.0,45:00.0,1/21/2023
19384048,7/10/2022,30:00.0,45:00.0,7/10/2022
19388338,3/25/2023,00:00.0,00:00.0,0001-01-01
19391725,9/7/2023,00:00.0,00:00.0,9/8/2023
19392480,8/10/2022,00:00.0,00:00.0,8/10/2022
19393216,0001-01-01,00:00.0,00:00.0,0001-01-01
19398971,0001-01-01,00:00.0,00:00.0,0001-01-01
19400436,8/14/2023,00:00.0,00:00.0,0001-01-01
19405769,1/14/2022,45:00.0,45:00.0,1/16/2022
19406877,0001-01-01,00:00.0,00:00.0,0001-01-01
19407303,11/3/2023,30:00.0,00:00.0,11/5/2023
19409150,9/12/2023,15:00.0,00:00.0,0001-01-01
19413975,4/27/2022,45:00.0,00:00.0,4/29/2022
19415496,3/30/2022,00:00.0,30:00.0,3/31/2022
19416082,0001-01-01,00:00.0,00:00.0,0001-01-01
19425316,7/17/2024,45:00.0,00:00.0,7/18/2024
19426274,0001-01-01,00:00.0,00:00.0,0001-01-01
19426874,10/1/2022,30:00.0,00:00.0,10/1/2022
19426966,7/18/2023,15:00.0,00:00.0,0001-01-01
19435754,1/19/2023,00:00.0,15:00.0,1/21/2023
19437976,3/20/2022,00:00.0,00:00.0,3/21/2022
19440014,9/4/2022,45:00.0,15:00.0,9/4/2022
19440698,3/25/2022,00:00.0,15:00.0,3/25/2022
19444312,9/15/2022,00:00.0,15:00.0,9/16/2022
19446734,0001-01-01,00:00.0,00:00.0,0001-01-01
19447334,1/7/2022,15:00.0,15:00.0,1/9/2022
19463832,0001-01-01,00:00.0,00:00.0,0001-01-01
19465618,9/14/2023,45:00.0,30:00.0,9/15/2023
19466596,2/20/2024,45:00.0,30:00.0,2/22/2024
19475300,6/10/2023,00:00.0,45:00.0,6/10/2023
19476204,8/16/2022,30:00.0,15:00.0,8/18/2022
19476587,5/28/2023,15:00.0,00:00.0,0001-01-01
19477065,11/26/2022,00:00.0,15:00.0,11/26/2022
19477569,6/22/2024,45:00.0,45:00.0,6/23/2024
19480896,12/4/2023,45:00.0,00:00.0,0001-01-01
19483183,0001-01-01,00:00.0,00:00.0,0001-01-01
19483290,0001-01-01,00:00.0,00:00.0,0001-01-01
19484050,6/6/2023,15:00.0,00:00.0,0001-01-01
19487711,9/15/2024,00:00.0,00:00.0,0001-01-01
19488216,6/5/2023,30:00.0,30:00.0,6/6/2023
19488938,4/15/2022,15:00.0,15:00.0,4/16/2022
19492426,0001-01-01,00:00.0,00:00.0,0001-01-01
19499463,7/16/2022,30:00.0,45:00.0,7/17/2022
19505341,6/5/2022,00:00.0,00:00.0,6/6/2022
19510088,0001-01-01,00:00.0,00:00.0,0001-01-01
19510312,11/18/2023,00:00.0,00:00.0,0001-01-01
19511601,0001-01-01,00:00.0,00:00.0,0001-01-01
19511690,12/7/2023,15:00.0,00:00.0,12/7/2023
19513051,0001-01-01,00:00.0,00:00.0,0001-01-01
19513375,1/11/2024,45:00.0,45:00.0,1/12/2024
19513897,3/30/2023,30:00.0,30:00.0,3/31/2023
19520213,4/24/2023,45:00.0,00:00.0,0001-01-01
19521586,4/4/2023,15:00.0,00:00.0,0001-01-01
19525938,0001-01-01,00:00.0,00:00.0,0001-01-01
19526915,2/11/2024,30:00.0,45:00.0,2/12/2024
19529942,0001-01-01,00:00.0,00:00.0,0001-01-01
19530684,0001-01-01,00:00.0,00:00.0,0001-01-01
19531256,8/4/2023,30:00.0,00:00.0,8/6/2023
19533183,3/4/2023,15:00.0,00:00.0,0001-01-01
19533564,10/30/2023,15:00.0,15:00.0,10/30/2023
19533894,8/18/2023,45:00.0,30:00.0,8/18/2023
19533977,2/9/2024,15:00.0,00:00.0,0001-01-01
19539013,7/7/2024,30:00.0,00:00.0,0001-01-01
19541726,0001-01-01,00:00.0,00:00.0,0001-01-01
19544981,7/17/2023,45:00.0,00:00.0,7/19/2023
19545651,5/5/2023,45:00.0,15:00.0,5/6/2023
19547433,8/21/2023,30:00.0,15:00.0,8/21/2023
19550768,2/15/2023,30:00.0,30:00.0,2/17/2023
19553585,7/2/2023,45:00.0,00:00.0,0001-01-01
19559882,0001-01-01,00:00.0,00:00.0,0001-01-01
19560033,4/27/2023,15:00.0,30:00.0,4/28/2023
19560718,5/2/2023,00:00.0,00:00.0,0001-01-01
19561156,9/1/2023,45:00.0,30:00.0,9/3/2023
19562516,7/1/2022,15:00.0,30:00.0,7/2/2022
19568531,8/28/2022,00:00.0,30:00.0,8/30/2022
19569110,8/22/2023,30:00.0,00:00.0,8/22/2023
19569481,7/4/2022,15:00.0,30:00.0,7/5/2022
19570981,2/22/2022,15:00.0,00:00.0,2/22/2022
19572128,3/8/2023,45:00.0,30:00.0,3/9/2023
19573523,8/3/2023,00:00.0,00:00.0,0001-01-01
19574576,10/10/2023,00:00.0,45:00.0,10/10/2023
19575640,7/23/2023,30:00.0,30:00.0,7/23/2023
19575742,3/7/2023,45:00.0,00:00.0,3/7/2023
19576257,3/23/2023,45:00.0,00:00.0,3/25/2023
19579383,2/28/2024,30:00.0,00:00.0,0001-01-01
19584466,3/18/2023,00:00.0,00:00.0,0001-01-01
19587874,0001-01-01,00:00.0,00:00.0,0001-01-01
19590240,11/21/2022,30:00.0,15:00.0,11/21/2022
19590810,0001-01-01,00:00.0,00:00.0,0001-01-01
19591420,1/6/2022,30:00.0,45:00.0,1/7/2022
19603857,5/16/2023,00:00.0,00:00.0,5/18/2023
19612093,7/3/2022,30:00.0,45:00.0,7/3/2022
19615892,3/19/2023,15:00.0,00:00.0,0001-01-01
19619513,4/23/2023,15:00.0,00:00.0,0001-01-01
19620633,6/12/2023,00:00.0,15:00.0,6/13/2023
19621170,3/25/2023,15:00.0,00:00.0,0001-01-01
19622395,2/9/2024,30:00.0,30:00.0,2/11/2024
19623728,0001-01-01,00:00.0,00:00.0,0001-01-01
19624327,1/30/2024,00:00.0,30:00.0,1/31/2024
19626418,5/6/2023,30:00.0,15:00.0,5/6/2023
19628463,9/22/2023,30:00.0,00:00.0,9/23/2023
19629584,0001-01-01,00:00.0,00:00.0,0001-01-01
19630297,8/5/2022,00:00.0,00:00.0,8/7/2022
19632961,9/28/2023,00:00.0,00:00.0,0001-01-01
19639949,11/26/2022,00:00.0,15:00.0,11/26/2022
19645233,0001-01-01,00:00.0,00:00.0,0001-01-01
19649812,2/3/2022,15:00.0,45:00.0,2/4/2022
19650604,5/18/2022,00:00.0,00:00.0,5/19/2022
19651466,3/5/2023,15:00.0,30:00.0,3/7/2023
19652767,0001-01-01,00:00.0,00:00.0,0001-01-01
19655576,0001-01-01,00:00.0,00:00.0,0001-01-01
19655821,5/5/2022,45:00.0,00:00.0,5/6/2022
19660147,6/2/2023,00:00.0,30:00.0,6/3/2023
19660505,6/6/2022,15:00.0,15:00.0,6/6/2022
19662262,12/17/2023,45:00.0,30:00.0,12/19/2023
19666479,7/27/2022,00:00.0,45:00.0,7/29/2022
19668169,0001-01-01,00:00.0,00:00.0,0001-01-01
19673809,11/18/2024,00:00.0,15:00.0,11/20/2024
19677231,3/18/2022,00:00.0,45:00.0,3/18/2022
19682155,0001-01-01,00:00.0,00:00.0,0001-01-01
19689190,0001-01-01,00:00.0,00:00.0,0001-01-01
19690419,0001-01-01,00:00.0,00:00.0,0001-01-01
19697929,4/19/2022,30:00.0,15:00.0,4/19/2022
19699133,10/30/2023,00:00.0,15:00.0,10/30/2023
19704171,2/9/2022,15:00.0,45:00.0,2/10/2022
19711151,4/8/2022,30:00.0,15:00.0,4/10/2022
19712717,7/20/2022,15:00.0,00:00.0,7/22/2022
19713407,0001-01-01,00:00.0,00:00.0,0001-01-01
19717327,11/17/2023,45:00.0,00:00.0,11/19/2023
19717833,6/8/2022,00:00.0,45:00.0,6/9/2022
19722710,0001-01-01,00:00.0,00:00.0,0001-01-01
19728002,1/4/2024,30:00.0,00:00.0,0001-01-01
19729173,0001-01-01,00:00.0,00:00.0,0001-01-01
19736503,0001-01-01,00:00.0,00:00.0,0001-01-01
19736572,0001-01-01,00:00.0,00:00.0,0001-01-01
19737536,3/1/2022,15:00.0,15:00.0,3/1/2022
19742640,12/28/2022,30:00.0,30:00.0,12/29/2022
19742790,1/21/2023,30:00.0,15:00.0,1/22/2023
19743050,1/18/2022,45:00.0,45:00.0,1/20/2022
19749620,5/6/2024,30:00.0,15:00.0,5/8/2024
19751809,2/16/2023,45:00.0,30:00.0,2/17/2023
19753797,4/24/2023,45:00.0,00:00.0,4/25/2023
19754865,0001-01-01,00:00.0,00:00.0,0001-01-01
19756509,2/13/2023,15:00.0,30:00.0,2/14/2023
19758662,3/30/2023,00:00.0,00:00.0,0001-01-01
19758685,2/23/2022,45:00.0,15:00.0,2/25/2022
19764779,4/4/2023,30:00.0,15:00.0,4/6/2023
19768149,1/12/2022,30:00.0,45:00.0,1/12/2022
19768947,7/7/2022,15:00.0,15:00.0,7/7/2022
19769429,0001-01-01,00:00.0,00:00.0,0001-01-01
19775209,9/3/2022,45:00.0,00:00.0,9/4/2022
19778829,0001-01-01,00:00.0,00:00.0,0001-01-01
19779161,7/3/2022,45:00.0,15:00.0,7/5/2022
19779395,5/2/2023,30:00.0,00:00.0,5/2/2023
19781894,11/16/2022,00:00.0,30:00.0,11/18/2022
19782015,9/17/2022,45:00.0,45:00.0,9/19/2022
19785038,0001-01-01,00:00.0,00:00.0,0001-01-01
19785926,5/9/2022,00:00.0,30:00.0,5/11/2022
19786069,3/9/2022,15:00.0,45:00.0,3/9/2022
19787090,8/9/2023,15:00.0,45:00.0,8/11/2023
19787663,8/11/2022,30:00.0,30:00.0,8/12/2022
19792420,7/26/2023,30:00.0,15:00.0,7/28/2023
19792433,0001-01-01,00:00.0,00:00.0,0001-01-01
19793345,9/26/2022,30:00.0,00:00.0,9/27/2022
19795032,0001-01-01,00:00.0,00:00.0,0001-01-01
19795738,5/30/2022,45:00.0,00:00.0,5/30/2022
19795789,2/17/2024,15:00.0,30:00.0,2/17/2024
19799868,2/25/2024,00:00.0,00:00.0,0001-01-01
19801355,11/8/2023,00:00.0,00:00.0,0001-01-01
19803194,2/1/2023,45:00.0,30:00.0,2/2/2023
19803499,11/28/2022,30:00.0,45:00.0,11/29/2022
19803608,11/7/2023,30:00.0,45:00.0,11/9/2023
19805359,5/17/2023,00:00.0,00:00.0,0001-01-01
19809109,11/11/2023,30:00.0,00:00.0,11/12/2023
19813361,10/22/2023,15:00.0,00:00.0,0001-01-01
19817171,4/28/2023,15:00.0,00:00.0,4/28/2023
19819040,2/10/2023,00:00.0,30:00.0,2/10/2023
19821354,0001-01-01,00:00.0,00:00.0,0001-01-01
19822504,0001-01-01,00:00.0,00:00.0,0001-01-01
19823244,11/14/2023,00:00.0,00:00.0,0001-01-01
19824132,7/16/2022,30:00.0,30:00.0,7/17/2022
19828101,4/23/2023,00:00.0,00:00.0,0001-01-01
19829329,0001-01-01,00:00.0,00:00.0,0001-01-01
19831184,12/22/2022,30:00.0,00:00.0,12/23/2022
19832625,0001-01-01,00:00.0,00:00.0,0001-01-01
19832887,1/15/2023,30:00.0,30:00.0,1/15/2023
19833562,10/1/2023,15:00.0,15:00.0,10/1/2023
19834301,6/26/2023,00:00.0,00:00.0,0001-01-01
19834748,8/28/2022,00:00.0,30:00.0,8/30/2022
19835291,12/26/2023,00:00.0,00:00.0,12/27/2023
19836409,5/10/2022,15:00.0,30:00.0,5/11/2022
19836996,9/28/2022,30:00.0,30:00.0,9/28/2022
19837032,1/16/2022,00:00.0,30:00.0,1/18/2022
19838192,6/15/2023,15:00.0,00:00.0,0001-01-01
19840600,12/6/2022,15:00.0,00:00.0,12/6/2022
19841415,0001-01-01,00:00.0,00:00.0,0001-01-01
19855881,11/17/2022,00:00.0,30:00.0,11/18/2022
19857193,6/2/2023,15:00.0,00:00.0,0001-01-01
19863117,6/18/2023,45:00.0,00:00.0,0001-01-01
19863721,0001-01-01,00:00.0,00:00.0,0001-01-01
19866464,7/5/2022,15:00.0,30:00.0,7/7/2022
19867173,6/17/2024,00:00.0,15:00.0,6/17/2024
19869264,10/28/2022,45:00.0,15:00.0,10/28/2022
19875253,1/29/2022,30:00.0,15:00.0,1/30/2022
19885154,6/19/2022,45:00.0,45:00.0,6/21/2022
19887897,5/26/2023,45:00.0,00:00.0,0001-01-01
19888147,1/7/2024,15:00.0,00:00.0,1/8/2024
19890201,0001-01-01,00:00.0,00:00.0,0001-01-01
19891997,6/21/2022,15:00.0,00:00.0,6/22/2022
19893106,12/4/2023,45:00.0,45:00.0,12/4/2023
19893263,0001-01-01,00:00.0,00:00.0,0001-01-01
19893707,3/11/2022,30:00.0,15:00.0,3/13/2022
19896028,11/17/2023,30:00.0,30:00.0,11/17/2023
19897078,7/6/2022,15:00.0,00:00.0,7/6/2022
19899046,12/28/2023,00:00.0,30:00.0,12/28/2023
19908131,8/6/2023,30:00.0,45:00.0,8/7/2023
19912388,4/12/2024,45:00.0,00:00.0,0001-01-01
19913576,0001-01-01,00:00.0,00:00.0,0001-01-01
19915403,7/21/2023,00:00.0,30:00.0,7/23/2023
19916592,0001-01-01,00:00.0,00:00.0,0001-01-01
19916771,5/16/2023,15:00.0,45:00.0,5/18/2023
19917380,0001-01-01,00:00.0,00:00.0,0001-01-01
19930398,1/11/2023,15:00.0,15:00.0,1/11/2023
19931717,1/26/2024,00:00.0,30:00.0,1/28/2024
19932287,10/15/2023,00:00.0,00:00.0,0001-01-01
19933113,1/13/2024,45:00.0,45:00.0,1/13/2024
19934616,10/19/2023,30:00.0,00:00.0,0001-01-01
19939096,12/11/2023,45:00.0,00:00.0,0001-01-01
19941358,12/17/2023,30:00.0,00:00.0,12/19/2023
19943140,2/19/2023,15:00.0,45:00.0,2/20/2023
19943990,7/14/2023,00:00.0,15:00.0,7/15/2023
19950920,8/11/2022,15:00.0,30:00.0,8/13/2022
19958063,5/21/2022,45:00.0,15:00.0,5/22/2022
19962414,8/17/2023,15:00.0,00:00.0,0001-01-01
19966124,3/8/2023,00:00.0,00:00.0,0001-01-01
19967983,5/2/2023,00:00.0,00:00.0,0001-01-01
19968446,8/30/2022,30:00.0,30:00.0,9/1/2022
19971024,12/6/2022,30:00.0,45:00.0,12/7/2022
19973272,0001-01-01,00:00.0,00:00.0,0001-01-01
19976458,11/17/2022,30:00.0,30:00.0,11/18/2022
19978827,12/3/2023,30:00.0,00:00.0,0001-01-01
19980384,2/28/2024,45:00.0,00:00.0,0001-01-01
19980836,0001-01-01,00:00.0,00:00.0,0001-01-01
19982037,3/20/2023,00:00.0,30:00.0,3/21/2023
19982597,7/25/2022,15:00.0,45:00.0,7/27/2022
19983865,0001-01-01,00:00.0,00:00.0,0001-01-01
19985429,6/15/2022,45:00.0,15:00.0,6/17/2022
19986873,8/2/2022,45:00.0,45:00.0,8/3/2022
19987024,5/25/2022,45:00.0,15:00.0,5/25/2022
19987171,8/24/2022,30:00.0,30:00.0,8/24/2022
19987229,7/8/2023,45:00.0,00:00.0,0001-01-01
19987762,0001-01-01,00:00.0,00:00.0,0001-01-01
19990292,1/27/2023,45:00.0,15:00.0,1/28/2023
19991216,1/3/2024,15:00.0,00:00.0,0001-01-01
19992912,0001-01-01,00:00.0,00:00.0,0001-01-01
19995059,11/17/2022,45:00.0,15:00.0,11/19/2022
19999329,1/3/2023,15:00.0,15:00.0,1/5/2023
20000970,5/2/2023,45:00.0,45:00.0,5/3/2023
20002911,12/29/2022,00:00.0,00:00.0,12/30/2022
20003477,0001-01-01,00:00.0,00:00.0,0001-01-01
20003491,7/4/2022,15:00.0,45:00.0,7/5/2022
20007894,1/25/2022,15:00.0,45:00.0,1/27/2022
20008306,1/15/2024,15:00.0,00:00.0,0001-01-01
20010731,9/13/2024,00:00.0,00:00.0,0001-01-01
20015321,6/7/2022,15:00.0,15:00.0,6/9/2022
20016439,0001-01-01,00:00.0,00:00.0,0001-01-01
20017969,10/13/2023,45:00.0,45:00.0,10/15/2023
20024377,6/6/2023,15:00.0,00:00.0,6/8/2023
20035793,0001-01-01,00:00.0,00:00.0,0001-01-01
20042134,8/14/2023,00:00.0,00:00.0,0001-01-01
20043277,10/16/2022,00:00.0,00:00.0,10/16/2022
20043577,1/18/2023,15:00.0,00:00.0,1/18/2023
20047133,1/10/2022,00:00.0,15:00.0,1/12/2022
20048242,4/1/2023,45:00.0,00:00.0,4/3/2023
20048946,0001-01-01,00:00.0,00:00.0,0001-01-01
20051862,7/2/2023,15:00.0,45:00.0,7/4/2023
20053714,0001-01-01,00:00.0,00:00.0,0001-01-01
20059485,7/14/2022,45:00.0,45:00.0,7/16/2022
20060841,10/13/2023,45:00.0,15:00.0,10/14/2023
20061655,3/12/2023,15:00.0,15:00.0,3/12/2023
20064609,11/27/2023,15:00.0,00:00.0,0001-01-01
20066654,0001-01-01,00:00.0,00:00.0,0001-01-01
20067969,9/25/2023,45:00.0,45:00.0,9/25/2023
20071532,3/15/2023,45:00.0,30:00.0,3/16/2023
20071854,12/12/2023,45:00.0,30:00.0,12/12/2023
20073766,10/5/2022,30:00.0,45:00.0,10/6/2022
20082754,12/2/2022,45:00.0,45:00.0,12/3/2022
20088018,0001-01-01,00:00.0,00:00.0,0001-01-01
20090296,0001-01-01,00:00.0,00:00.0,0001-01-01
20090443,12/28/2022,45:00.0,00:00.0,12/30/2022
20092311,3/11/2023,15:00.0,00:00.0,0001-01-01
20097910,7/19/2023,45:00.0,30:00.0,7/20/2023
20098009,0001-01-01,00:00.0,00:00.0,0001-01-01
20098755,7/11/2023,15:00.0,30:00.0,7/11/2023
20102295,2/6/2023,30:00.0,00:00.0,2/8/2023
20104355,9/7/2024,15:00.0,45:00.0,9/7/2024
20106509,0001-01-01,00:00.0,00:00.0,0001-01-01
20106846,6/5/2022,30:00.0,30:00.0,6/6/2022
20107376,12/29/2022,30:00.0,30:00.0,12/31/2022
20112592,0001-01-01,00:00.0,00:00.0,0001-01-01
20115683,1/15/2024,45:00.0,00:00.0,0001-01-01
20115832,6/11/2023,00:00.0,15:00.0,6/12/2023
20118170,0001-01-01,00:00.0,00:00.0,0001-01-01
20118388,5/18/2023,15:00.0,15:00.0,5/20/2023
20120010,12/3/2022,30:00.0,00:00.0,12/4/2022
20128382,0001-01-01,00:00.0,00:00.0,0001-01-01
20128603,8/2/2022,15:00.0,00:00.0,8/3/2022
20129246,7/23/2024,45:00.0,00:00.0,0001-01-01
20129282,4/18/2022,00:00.0,15:00.0,4/20/2022
20130392,7/16/2023,45:00.0,45:00.0,7/18/2023
20133434,2/24/2023,30:00.0,00:00.0,0001-01-01
20135622,11/14/2022,15:00.0,45:00.0,11/15/2022
20135716,2/10/2022,15:00.0,30:00.0,2/10/2022
20136881,6/29/2023,15:00.0,00:00.0,0001-01-01
20139867,1/9/2023,15:00.0,30:00.0,1/10/2023
20140494,2/10/2023,00:00.0,45:00.0,2/11/2023
20142901,12/16/2023,30:00.0,45:00.0,12/16/2023
20152046,0001-01-01,00:00.0,00:00.0,0001-01-01
20152539,12/4/2022,45:00.0,00:00.0,12/4/2022
20160511,3/13/2023,15:00.0,00:00.0,3/14/2023
20160648,8/11/2023,30:00.0,45:00.0,8/13/2023
