Product,Year,Month,Supplying_Plant_Code,Channel,Sales_Office_ID,Invoice_No,Invoice_Date,Ship_to_Code_City,OBD_No,QTY,Sales_Value
LuxFridge R5000,2024,11/1/2024,338,MT,118,2172053,11/10/2024,Durg,NULL,14,1157352
FreshCool R2000,2024,12/1/2024,754,MT,122,2172236,12/18/2024,Lucknow,27662714,46,7816090
WM-TL10,2024,6/1/2024,189,Normal Trade,110,2172433,7/17/2024,Bikaner,31755294,25,1942875
TopCool R1000,2024,12/1/2024,658,Normal Trade,108,2173314,12/9/2024,Chalakudy,59473989,29,2276790
WM-200D,2022,9/1/2022,765,Normal Trade,103,2173318,9/19/2022,Hamirpur,50350996,30,2538510
FreshBreeze-300,2024,2/1/2024,765,E-com,103,2173918,2/11/2024,Mandi,28666346,73,8927754
BakePro O3000,2024,4/1/2024,833,MT,119,2173978,4/22/2024,Shirgaon,86675556,77,4631319
CleanAir-C100,2023,3/1/2023,303,E-com,123,2174090,3/20/2023,Chitoor,71256525,2,186558
CleanAir-C100,2024,1/1/2024,242,E-com,105,2174184,1/16/2024,Peringottukara,33728026,65,6063135
BakePro O3000,2022,1/1/2022,658,E-com,108,2174433,1/18/2022,Guntakal,64190989,50,3007350
UltraCool R8000,2022,11/1/2022,754,E-com,100,2174816,11/24/2022,Kalol,74964934,26,1704664
FreshCool R2000,2023,10/1/2023,833,Normal Trade,119,2175292,10/20/2023,Ratnagiri,25100238,12,2038980
WM-200D,2022,8/1/2022,833,MT,119,2175580,8/15/2022,Vangaon,32959320,50,4230850
TopCool R1000,2023,9/1/2023,818,E-com,109,2175582,9/24/2023,Ujjain,95555292,47,3689970
WM-TL10,2022,1/1/2022,754,E-com,100,2175979,1/27/2022,Vapi,94635437,33,2564595
UltraCool R8000,2024,2/1/2024,754,E-com,122,2176077,2/12/2024,Sholapur,82494849,4,262256
CleanAir-C100,2024,3/1/2024,125,Normal Trade,101,2176226,5/31/2024,Bijapur,91549020,54,5037066
TurboConvection O9,2023,11/1/2023,854,Normal Trade,115,2176584,11/19/2023,Shamshabad,95694478,33,2739462
TurboConvection O9,2023,3/1/2023,658,MT,108,2176826,5/30/2023,Salem,25933621,38,3154532
WM-TL10,2022,1/1/2022,854,E-com,115,2177060,1/27/2022,Rewari,50154684,47,3652605
WM-TL10,2023,8/1/2023,858,MT,107,2177396,8/3/2023,Raniganj,10897001,60,4662900
LuxFridge R5000,2022,4/1/2022,195,MT,116,2177457,4/21/2022,Begusarai,39890940,11,909348
WM-101SA,2024,11/1/2024,854,MT,115,2177543,11/28/2024,Sadabad,NULL,78,8858070
FreshBreeze-300,2022,6/1/2022,189,MT,110,2177882,6/1/2022,Ajmer,91323650,5,611490
BakePro O3000,2022,1/1/2022,858,E-com,107,2178503,1/3/2022,Kamrup metropolitan,99921354,23,1383381
WM-TL10,2024,10/1/2024,833,MT,119,2178890,10/15/2024,Lanja,NULL,44,3419460
WM-200D,2023,4/1/2023,754,MT,100,2179009,4/12/2023,Gwalior,39945003,77,6515509
TopCool R1000,2024,8/1/2024,323,MT,117,2179102,8/14/2024,Verna,47226095,3,235530
UltraCool R8000,2024,8/1/2024,130,E-com,114,2179598,8/2/2024,Nashik,67583825,72,4720608
TurboConvection O9,2023,11/1/2023,242,Normal Trade,111,2179710,11/30/2023,Cochin,93683740,28,2324392
WM-200D,2023,12/1/2023,130,Normal Trade,114,2179726,12/4/2023,Jamkhed,10607151,60,5077020
TurboConvection O9,2023,9/1/2023,132,MT,112,2179825,9/6/2023,Allahabad,51915246,5,415070
CleanAir-C100,2022,3/1/2022,818,MT,109,2179945,5/29/2022,Pune,21768147,59,5503461
LuxFridge R5000,2023,1/1/2023,242,MT,111,2179969,1/26/2023,Thammanam,11768180,73,6034764
FreshBreeze-300,2022,9/1/2022,833,MT,119,2180102,9/3/2022,Chembur,87833796,27,3302046
LuxFridge R5000,2024,1/1/2024,754,E-com,122,2180243,1/7/2024, bhiwandi,27435514,31,2562708
WM-TL10,2023,6/1/2023,195,E-com,116,2180495,6/10/2023,Rajgir,19620633,14,1088010
UltraCool R8000,2023,9/1/2023,338,E-com,118,2180657,9/3/2023,Mana raipur,30796249,25,1639100
BakePro O3000,2022,1/1/2022,338,E-com,118,2180827,1/6/2022,Aurangabad,30970686,68,4089996
LuxFridge R5000,2024,6/1/2024,303,E-com,123,2181161,7/25/2024,Madanapalle,55818870,39,3224052
PowerMix,2022,3/1/2022,818,Normal Trade,109,2181322,3/5/2022,Khandwa,86684568,7,785603
BakePro O3000,2024,12/1/2024,303,Normal Trade,124,2181337,12/24/2024,Vizianagaram,88573718,40,2405880
PowerMix,2023,10/1/2023,658,Normal Trade,108,2181776,10/11/2023,Rangareddy,34071754,30,3366870
CleanAir-C100,2023,6/1/2023,859,MT,120,2181822,7/11/2023,Bilaspur,87170132,12,1119348
CleanAir-C100,2023,2/1/2023,859,Normal Trade,120,2182480,2/12/2023,Nerul,28202094,29,2705091
TopCool R1000,2024,6/1/2024,328,MT,104,2182712,7/30/2024,Howrah,85439116,17,1334670
TopCool R1000,2024,12/1/2024,765,MT,113,2182736,12/3/2024,Kullu,NULL,69,5417190
UltraCool R8000,2023,11/1/2023,859,E-com,120,2182936,11/14/2023,Turbhe,25973428,75,4917300
WM-TL10,2023,4/1/2023,754,Normal Trade,100,2183382,4/5/2023,Thavar,73982711,68,5284620
FreshCool R2000,2024,6/1/2024,859,E-com,120,2183600,6/23/2024,Amne village,62193650,73,12403795
CleanAir-C100,2023,11/1/2023,350,E-com,102,2183684,11/7/2023,Malkanagiri,31882161,24,2238696
TopCool R1000,2023,6/1/2023,323,MT,117,2183922,7/24/2023,Latur,56698858,6,471060
LuxFridge R5000,2023,11/1/2023,858,E-com,107,2184456,11/27/2023,Agartala,13645536,79,6530772
PowerMix,2023,6/1/2023,754,MT,122,2184493,7/10/2023,Dahod,94170608,73,8192717
WM-200D,2024,3/1/2024,189,Normal Trade,110,2184506,3/9/2024,Khatu shyam ji,91154743,60,5077020
TurboConvection O9,2023,8/1/2023,765,Normal Trade,113,2184628,8/8/2023,Panchkula,83365847,27,2241378
FreshBreeze-300,2022,6/1/2022,132,E-com,112,2185763,6/22/2022,Orai,96919298,13,1589874
WM-200D,2024,9/1/2024,242,Normal Trade,111,2186125,9/24/2024,Adoor,61657620,28,2369276
FreshCool R2000,2023,6/1/2023,125,E-com,101,2186433,7/3/2023,Gokak,39222844,36,6116940
WM-101SA,2024,12/1/2024,323,Normal Trade,117,2186539,12/19/2024,Ratnagiri,NULL,28,3179820
UltraCool R8000,2023,6/1/2023,859,Normal Trade,120,2187207,7/29/2023,Uran,65866810,24,1573536
FreshCool R2000,2024,10/1/2024,323,E-com,117,2187502,10/13/2024,Panji,NULL,83,14102945
FreshFreeze R2800,2022,11/1/2022,765,Normal Trade,103,2187851,11/28/2022,Meerut,48513093,69,5448171
CleanAir-C100,2022,8/1/2022,858,MT,107,2187886,8/23/2022,Dimapur,46697693,53,4943787
WM-TL10,2022,10/1/2022,195,E-com,116,2187967,10/24/2022,Bihar,10578075,9,699435
TurboConvection O9,2023,9/1/2023,833,MT,119,2188301,9/13/2023,Airoli,40728728,13,1079182
PowerMix,2023,4/1/2023,792,E-com,106,2188383,4/30/2023,Mapusa,89968369,42,4713618
FreshBreeze-300,2024,9/1/2024,242,Normal Trade,121,2188593,9/17/2024,Vattappara,22266616,50,6114900
CleanAir-C100,2023,11/1/2023,195,MT,116,2188790,11/27/2023,Ranchi,78704536,7,652953
WM-200D,2024,6/1/2024,125,E-com,101,2188825,7/29/2024,Bijapur,41581408,76,6430892
WM-TL10,2022,9/1/2022,833,MT,119,2189067,9/2/2022,Taloja,11756387,8,621720
FreshBreeze-300,2023,12/1/2023,242,E-com,121,2189550,12/4/2023,Thalassery,91303161,42,5136516
BakePro O3000,2022,4/1/2022,754,Normal Trade,100,2189717,4/29/2022,Himmatnagar,26532086,38,2285586
WM-200D,2023,4/1/2023,858,E-com,107,2189815,4/15/2023,Agartala,29610873,54,4569318
FreshCool R2000,2024,4/1/2024,858,E-com,107,2189907,4/18/2024,Naharlagun,50549608,2,339830
UltraCool R8000,2024,6/1/2024,130,MT,114,2190075,6/27/2024,Yavatmal,93051607,80,5245120
WM-200D,2024,8/1/2024,658,E-com,108,2190263,8/19/2024,Kompaly,91327959,23,1946191
LuxFridge R5000,2022,9/1/2022,130,MT,114,2190891,9/26/2022,Khamgaon,89293994,22,1818696
UltraCool R8000,2023,10/1/2023,833,MT,119,2191066,10/22/2023,Malvan,94705205,63,4130532
WM-TL10,2024,11/1/2024,858,MT,107,2191148,11/6/2024,Tripura,33868034,14,1088010
TurboConvection O9,2022,6/1/2022,242,MT,121,2191190,6/29/2022,Trichur,85421175,1,83014
WM-TL10,2024,3/1/2024,754,E-com,100,2191287,3/1/2024,Bharuch,60259012,78,6061770
WM-TL10,2022,9/1/2022,125,E-com,101,2191374,9/27/2022,Bidar,46057743,76,5906340
BakePro O3000,2023,10/1/2023,242,E-com,111,2191383,10/4/2023,Pudukkad,80905413,27,1623969
FreshBreeze-300,2023,6/1/2023,765,E-com,113,2191763,7/30/2023,Bathinda,82318164,27,3302046
WM-TL10,2024,10/1/2024,854,E-com,115,2191814,10/11/2024,Rampur,NULL,1,77715
WM-TL10,2023,12/1/2023,658,E-com,108,2193530,12/31/2023,Malappuram,80466802,15,1165725
FreshBreeze-300,2022,3/1/2022,818,Normal Trade,109,2193802,3/26/2022,Pithampur,94819371,69,8438562
BakePro O3000,2024,3/1/2024,195,E-com,116,2194298,5/17/2024,Buxar,85276617,72,4330584
PowerMix,2022,6/1/2022,195,MT,116,2194397,7/3/2022,Sharif,20516169,43,4825847
FreshCool R2000,2023,3/1/2023,125,E-com,101,2194466,5/18/2023,Bengaluru,56335986,11,1869065
TurboConvection O9,2022,3/1/2022,754,E-com,122,2194551,5/15/2022,Gondal,96422953,44,3652616
CleanAir-C100,2022,4/1/2022,858,E-com,107,2194645,4/19/2022,Naharlagun,20562429,8,746232
UltraCool R8000,2023,2/1/2023,658,E-com,108,2194801,2/17/2023,Chilkalguda,73380252,36,2360304
TopCool R1000,2024,3/1/2024,754,Normal Trade,122,2195114,3/15/2024,Silvassa,64866540,6,471060
CleanAir-C100,2023,12/1/2023,242,MT,111,2195239,12/29/2023, kolenchery,11443571,23,2145417
TurboConvection O9,2024,12/1/2024,818,Normal Trade,109,2195257,12/19/2024,Mandsaur,NULL,2,166028
LuxFridge R5000,2024,3/1/2024,323,Normal Trade,117,2195682,5/18/2024,Latur,60607732,48,3968064
WM-101SA,2024,3/1/2024,242,MT,121,2195924,3/23/2024, kolenchery,25483155,15,1703475
WM-TL10,2023,6/1/2023,303,E-com,124,2196088,6/5/2023,Cuddapah,73245675,55,4274325
FreshCool R2000,2024,3/1/2024,658,MT,108,2196817,3/17/2024,Warangal,53295997,5,849575
WM-101SA,2022,3/1/2022,130,Normal Trade,114,2197005,5/10/2022,Buldhana,83038421,72,8176680
FreshBreeze-300,2022,8/1/2022,303,MT,123,2197636,8/14/2022,Tirupathi,82905989,43,5258814
TopCool R1000,2022,2/1/2022,323,E-com,117,2197664,2/11/2022,Kudal,49384624,42,3297420
LuxFridge R5000,2022,3/1/2022,765,MT,103,2197665,5/31/2022,Ludhiana,42935496,55,4546740
TurboConvection O9,2022,6/1/2022,242,E-com,121,2197778,7/28/2022,Cheruthazham kannur,96152618,2,166028
TopCool R1000,2022,3/1/2022,242,E-com,121,2197870,5/24/2022,Ranni,73012415,62,4867620
PowerMix,2024,2/1/2024,818,Normal Trade,109,2197935,2/4/2024,Narsinghpur,91756179,62,6958198
WM-101SA,2024,11/1/2024,858,MT,107,2197959,11/30/2024,Bokajan,62605393,39,4429035
CoolBox R1000,2024,1/1/2024,130,E-com,114,2198545,1/15/2024,Chandrapur,10236882,80,6156320
WM-200D,2022,6/1/2022,859,E-com,120,2198607,6/14/2022,Vasco da gama,27134190,16,1353872
WM-TL10,2022,3/1/2022,833,Normal Trade,119,2199167,3/14/2022,Vengurla,89579793,53,4118895
WM-200D,2022,3/1/2022,189,E-com,110,2199617,5/18/2022,Jodhpur,43071149,57,4823169
FreshFreeze R2800,2024,3/1/2024,858,MT,107,2199696,5/18/2024,West tripura,95687907,18,1421262
WM-200D,2023,11/1/2023,303,E-com,123,2200885,11/17/2023,Vijaywada,55745053,13,1100021
PowerMix,2022,3/1/2022,242,E-com,121,2201556,5/7/2022, perinthalmanna,71348078,50,5611450
CleanAir-C100,2023,12/1/2023,303,MT,124,2201658,12/3/2023,Peddapuram,63413763,72,6716088
WM-200D,2022,3/1/2022,242,Normal Trade,121,2201774,5/28/2022,Karukutty angamaly,51184586,17,1438489
CoolBox R1000,2024,3/1/2024,350,E-com,102,2201922,3/6/2024,Khurda,13957323,28,2154712
WM-TL10,2024,4/1/2024,338,MT,118,2202201,4/30/2024,Durg,56555725,18,1398870
TopCool R1000,2023,12/1/2023,833,E-com,119,2203292,12/2/2023,Kalyan,85354139,69,5417190
WM-101SA,2024,11/1/2024,792,MT,106,2203321,11/22/2024,Goa,14053366,25,2839125
BakePro O3000,2023,10/1/2023,303,E-com,123,2203404,10/8/2023,Kakinada,17858010,30,1804410
LuxFridge R5000,2024,8/1/2024,792,MT,106,2203548,8/2/2024,North goa,39494552,15,1240020
BakePro O3000,2023,3/1/2023,323,MT,117,2203699,5/9/2023,Bhusawal,41332038,2,120294
UltraCool R8000,2024,6/1/2024,195,Normal Trade,116,2203724,6/29/2024,Sakchi,42056846,81,5310684
WM-200D,2024,11/1/2024,765,MT,103,2203803,11/15/2024,Patiala,NULL,66,5584722
FreshBreeze-300,2024,3/1/2024,754,Normal Trade,100,2203875,5/4/2024,Himatnagar,98484809,51,6237198
FreshBreeze-300,2022,12/1/2022,854,MT,115,2204445,12/23/2022,Sikandrabad,95917512,74,9050052
FreshCool R2000,2023,1/1/2023,833,E-com,119,2204692,1/9/2023,Chiplun,96641627,11,1869065
BakePro O3000,2024,3/1/2024,754,Normal Trade,100,2204766,3/13/2024,Morbi,72271729,71,4270437
UltraCool R8000,2023,1/1/2023,818,MT,109,2204872,1/22/2023,Prathvipur,69661898,77,5048428
WM-TL10,2023,1/1/2023,859,MT,120,2204950,1/23/2023,Nerul navi mumbai,45715415,54,4196610
UltraCool R8000,2023,11/1/2023,658,E-com,108,2204955,11/26/2023,Chitoor,30306739,63,4130532
FreshFreeze R2800,2023,12/1/2023,130,Normal Trade,114,2204968,12/4/2023,Khamgaon,81176505,18,1421262
FreshBreeze-300,2023,8/1/2023,854,Normal Trade,115,2205438,8/8/2023,Bijnor,16027001,49,5992602
WM-TL10,2024,10/1/2024,658,MT,108,2205527,10/2/2024,Chilkalguda,65876711,71,5517765
TopCool R1000,2023,3/1/2023,328,Normal Trade,104,2206941,3/5/2023,Gopichettipalyam,30205031,16,1256160
FreshBreeze-300,2023,3/1/2023,323,MT,117,2207248,3/12/2023,Akola,19328821,57,6970986
WM-200D,2023,1/1/2023,765,E-com,103,2207333,1/31/2023,Jalandhar,24810745,79,6684743
WM-TL10,2024,12/1/2024,242,E-com,121,2207374,12/12/2024,Calicut,55729498,60,4662900
FreshBreeze-300,2022,10/1/2022,833,MT,119,2208104,10/4/2022,Mokhada,82848157,58,7093284
WM-200D,2023,3/1/2023,242,MT,111,2208201,5/24/2023,Tripunithura,62987154,30,2538510
PowerMix,2023,12/1/2023,195,MT,116,2208687,12/4/2023,Kishanganj,60790227,30,3366870
PowerMix,2023,8/1/2023,350,E-com,102,2208802,8/28/2023,Nayagarh,43894767,54,6060366
TopCool R1000,2023,10/1/2023,242,Normal Trade,111,2209670,10/2/2023,Kodungallur,59967612,37,2904870
BakePro O3000,2022,10/1/2022,754,E-com,100,2209981,10/14/2022,Junagadh,30636590,68,4089996
FreshBreeze-300,2022,11/1/2022,833,E-com,119,2210028,11/4/2022,Khapoli,33644270,72,8805456
FreshBreeze-300,2022,4/1/2022,338,MT,118,2210480,4/27/2022,Durg,71924700,3,366894
TurboConvection O9,2023,11/1/2023,328,Normal Trade,104,2210599,11/14/2023,Mannarkudi,37973702,34,2822476
CleanAir-C100,2024,6/1/2024,189,E-com,110,2210659,6/30/2024,Udaipur,44204435,52,4850508
WM-200D,2023,6/1/2023,859,E-com,120,2210697,7/30/2023,Vasai,34511641,40,3384680
FreshCool R2000,2023,6/1/2023,195,E-com,116,2210751,6/9/2023,Tajpur,75675590,24,4077960
LuxFridge R5000,2023,2/1/2023,323,E-com,117,2210758,2/16/2023,Nagpur,53942593,22,1818696
LuxFridge R5000,2022,3/1/2022,792,Normal Trade,106,2210816,3/8/2022,Mandrem,70974192,37,3058716
TopCool R1000,2022,3/1/2022,303,Normal Trade,123,2211426,5/21/2022,Nalgonda,51145240,43,3375930
FreshBreeze-300,2023,3/1/2023,754,Normal Trade,122,2211733,3/6/2023,Aravalli,57853708,29,3546642
PowerMix,2022,12/1/2022,858,Normal Trade,107,2212136,12/11/2022,Rehabari,77175617,8,897832
LuxFridge R5000,2024,3/1/2024,303,Normal Trade,123,2212374,5/6/2024,Amalapuram,27789976,42,3472056
FreshFreeze R2800,2024,3/1/2024,338,Normal Trade,118,2213532,3/10/2024,Ambikapur,58176868,13,1026467
TopCool R1000,2022,3/1/2022,125,E-com,101,2213962,3/28/2022,Banglore,23139784,58,4553580
PowerMix,2022,6/1/2022,328,MT,104,2214176,7/19/2022,Kamareddy,48937138,54,6060366
TurboConvection O9,2022,9/1/2022,350,Normal Trade,102,2214435,9/5/2022,Ganjam,77534222,67,5561938
CleanAir-C100,2024,9/1/2024,303,E-com,124,2214453,9/16/2024,Gudivada,89576409,59,5503461
FreshCool R2000,2022,1/1/2022,658,Normal Trade,108,2215681,1/27/2022,Mumbai,81831636,16,2718640
TopCool R1000,2022,3/1/2022,754,Normal Trade,100,2215995,3/28/2022,Ahmedabad,39906700,33,2590830
LuxFridge R5000,2022,6/1/2022,858,MT,107,2216435,7/22/2022,Dhekiajuli,78096778,6,496008
BakePro O3000,2024,8/1/2024,130,Normal Trade,114,2216878,8/1/2024,Gondia,60142505,63,3789261
FreshBreeze-300,2024,3/1/2024,189,E-com,110,2217490,3/15/2024,Tonk,90029835,44,5381112
PowerMix,2023,2/1/2023,130,MT,114,2217859,2/11/2023,Nanded,85988361,24,2693496
WM-101SA,2024,11/1/2024,189,Normal Trade,110,2218092,11/12/2024,Jaisalmer,23772773,22,2498430
TopCool R1000,2022,4/1/2022,858,E-com,107,2218274,4/24/2022,Aizawl,49124853,10,785100
PowerMix,2022,6/1/2022,242,Normal Trade,121,2218410,7/21/2022,Chalakudy,63655030,68,7631572
LuxFridge R5000,2022,11/1/2022,242,MT,111,2218773,11/14/2022,Adoor,93516972,58,4794744
CoolBox R1000,2022,4/1/2022,125,Normal Trade,101,2218827,4/29/2022,Channapatna,62030263,42,3232068
CleanAir-C100,2023,9/1/2023,765,E-com,113,2218828,9/29/2023,Amritsar,58866576,66,6156414
FreshCool R2000,2023,1/1/2023,242,Normal Trade,105,2219028,1/3/2023,Kollam,25226084,53,9005495
BakePro O3000,2023,9/1/2023,242,MT,121,2219203,9/3/2023,Thiruvanthapuram,73560263,63,3789261
LuxFridge R5000,2022,2/1/2022,130,E-com,114,2219561,2/11/2022,Amgaon,11677049,36,2976048
FreshBreeze-300,2023,3/1/2023,858,MT,107,2219697,3/20/2023,Dibrigarh,10592144,71,8683158
WM-101SA,2023,3/1/2023,833,E-com,119,2220063,5/24/2023,Redi,33391451,42,4769730
WM-TL10,2022,3/1/2022,765,MT,113,2220215,3/7/2022,Chandigarh,51958630,52,4041180
WM-TL10,2022,6/1/2022,132,Normal Trade,112,2220978,7/22/2022,Etawah,73717559,41,3186315
CleanAir-C100,2023,2/1/2023,132,Normal Trade,112,2221451,2/9/2023,Powayan,39075869,36,3358044
UltraCool R8000,2023,4/1/2023,125,MT,101,2221854,4/29/2023,Kalaburagi,71124923,49,3212636
WM-200D,2024,11/1/2024,242,E-com,111,2222046,11/7/2024,Kuttikkattoorkozhikode,71872428,71,6007807
PowerMix,2024,6/1/2024,754,Normal Trade,122,2222123,6/12/2024,Gundasara,10473543,55,6172595
FreshFreeze R2800,2024,12/1/2024,242,Normal Trade,121,2222154,12/22/2024,Pothencode,NULL,81,6395679
WM-200D,2022,3/1/2022,242,E-com,105,2222698,3/29/2022, trivandrum,76200246,44,3723148
FreshFreeze R2800,2022,3/1/2022,818,MT,109,2222991,5/25/2022,Shajapur,50495382,4,315836
FreshFreeze R2800,2022,3/1/2022,350,E-com,102,2223458,3/3/2022,Koenjhar,32305735,46,3632114
TopCool R1000,2022,12/1/2022,189,Normal Trade,110,2223706,12/8/2022,Sriganganagar,13934616,37,2904870
FreshCool R2000,2022,1/1/2022,350,Normal Trade,102,2223884,1/21/2022,Deogaon,27581235,46,7816090
TurboConvection O9,2023,8/1/2023,125,MT,101,2224124,8/9/2023,Mandya,37327834,56,4648784
CleanAir-C100,2024,11/1/2024,858,E-com,107,2224284,11/23/2024,Khatkhati,NULL,57,5316903
TopCool R1000,2024,2/1/2024,792,Normal Trade,106,2224296,2/22/2024,Pune,88493777,20,1570200
PowerMix,2022,11/1/2022,338,E-com,118,2224599,11/5/2022,Korba,12240013,39,4376931
UltraCool R8000,2022,11/1/2022,328,MT,104,2224669,11/6/2022,Thittakudi,92939975,53,3474892
WM-TL10,2023,12/1/2023,195,MT,116,2224817,12/21/2023,Patna,28301743,10,777150
FreshBreeze-300,2022,6/1/2022,338,E-com,118,2225232,6/10/2022,Gondia,16078694,8,978384
WM-101SA,2022,8/1/2022,130,MT,114,2225261,8/23/2022,Surguja,89502833,46,5223990
FreshCool R2000,2022,4/1/2022,338,E-com,118,2225651,4/25/2022,Bhatapara,36363828,50,8495750
BakePro O3000,2024,4/1/2024,242,Normal Trade,121,2225735,4/12/2024,Kodungallur,23469668,38,2285586
UltraCool R8000,2023,6/1/2023,765,Normal Trade,103,2226346,6/3/2023,Kupwara jammu and kashmir,13462025,40,2622560
UltraCool R8000,2024,3/1/2024,303,E-com,123,2227162,3/23/2024,Nidadavolu,49010740,61,3999404
FreshBreeze-300,2023,3/1/2023,242,MT,105,2227246,5/25/2023,Ulloor,37807105,18,2201364
CleanAir-C100,2022,6/1/2022,303,MT,124,2227468,7/17/2022,Konaseema,53136609,28,2611812
UltraCool R8000,2024,9/1/2024,859,Normal Trade,120,2227839,9/14/2024,Surat,12455731,36,2360304
FreshBreeze-300,2022,1/1/2022,242,E-com,111,2228027,1/4/2022,Kottakal malappuram,36151974,26,3179748
UltraCool R8000,2024,8/1/2024,323,E-com,117,2228310,8/14/2024,Lonavala,30634593,62,4064968
FreshCool R2000,2023,3/1/2023,754,Normal Trade,122,2228485,3/6/2023,Nagpur,14113875,45,7646175
FreshFreeze R2800,2024,6/1/2024,854,MT,115,2228956,6/8/2024,Behror,93572661,29,2289811
CoolBox R1000,2023,6/1/2023,125,E-com,101,2229072,7/28/2023,Bengaluru,51815514,12,923448
TurboConvection O9,2022,12/1/2022,130,MT,114,2229359,12/14/2022,Surguja,62120473,70,5810980
WM-TL10,2024,8/1/2024,765,MT,103,2229943,8/2/2024,Sultanpur lodhi,25187368,52,4041180
CleanAir-C100,2023,11/1/2023,125,E-com,101,2231020,11/6/2023,Hassan,84939715,6,559674
UltraCool R8000,2023,11/1/2023,125,E-com,101,2231188,11/10/2023,Chamarajnagar,17918347,68,4458352
CleanAir-C100,2023,3/1/2023,132,MT,112,2231369,5/23/2023,Chitrakoot,92821658,9,839511
CoolBox R1000,2022,8/1/2022,350,E-com,102,2231734,8/13/2022,Jagatsinghpur,90503553,56,4309424
TopCool R1000,2023,12/1/2023,854,Normal Trade,115,2231747,12/2/2023,Hisar,89070526,67,5260170
FreshBreeze-300,2023,11/1/2023,303,Normal Trade,123,2231890,11/14/2023,Cuddapah,10216790,4,489192
WM-200D,2024,10/1/2024,754,E-com,100,2231929,10/25/2024,Morbi,NULL,60,5077020
CoolBox R1000,2023,3/1/2023,765,Normal Trade,103,2232154,3/15/2023,Sunam,47913187,8,615632
CoolBox R1000,2024,1/1/2024,833,E-com,119,2232969,1/4/2024,Titwala,20843514,9,692586
CoolBox R1000,2024,6/1/2024,859,MT,120,2233151,7/30/2024,Kalamboli,42231365,45,3462930
PowerMix,2024,1/1/2024,765,Normal Trade,113,2233237,1/25/2024,Chandigarh,21010955,16,1795664
PowerMix,2022,6/1/2022,130,MT,114,2233623,7/16/2022,Ambikapur,73215242,55,6172595
UltraCool R8000,2023,3/1/2023,242,MT,121,2234000,3/27/2023,Pattambi,66465899,45,2950380
BakePro O3000,2022,3/1/2022,350,E-com,102,2234262,3/10/2022,Sreerampore,82460791,32,1924704
TurboConvection O9,2024,6/1/2024,130,Normal Trade,114,2234399,6/10/2024,Kamptee,75299245,60,4980840
WM-101SA,2022,8/1/2022,658,E-com,108,2234695,8/4/2022,Lb nagar,63210593,39,4429035
PowerMix,2023,6/1/2023,323,E-com,117,2234849,7/18/2023,Ratnagiri,90264448,54,6060366
CleanAir-C100,2024,4/1/2024,658,E-com,108,2235037,4/29/2024,Nellore,86699698,37,3451323
CoolBox R1000,2024,6/1/2024,130,E-com,114,2235408,7/19/2024,Nandura,75515175,31,2385574
BakePro O3000,2023,8/1/2023,338,E-com,118,2235435,8/1/2023,Korba,97247431,75,4511025
FreshCool R2000,2022,6/1/2022,323,E-com,117,2235522,7/28/2022,Khed,36113612,42,7136430
CoolBox R1000,2024,4/1/2024,818,MT,109,2235678,4/14/2024,Chhatarpur,42129011,73,5617642
TurboConvection O9,2023,6/1/2023,242,Normal Trade,111,2236034,7/16/2023,Kakinada,24747409,54,4482756
CleanAir-C100,2022,3/1/2022,858,E-com,107,2236315,5/20/2022,Tripura,27360763,36,3358044
LuxFridge R5000,2022,12/1/2022,328,E-com,104,2236434,12/10/2022,Nungambakkam,50440641,33,2728044
CleanAir-C100,2024,6/1/2024,132,MT,112,2236461,6/9/2024,Gwalior,56222322,35,3264765
LuxFridge R5000,2022,10/1/2022,754,Normal Trade,122,2237331,10/23/2022,Modasa,26821075,39,3224052
WM-TL10,2022,12/1/2022,754,MT,100,2237362,12/28/2022,Bhuj,57641606,50,3885750
TopCool R1000,2023,6/1/2023,189,Normal Trade,110,2237660,6/12/2023,Kota,73998578,36,2826360
UltraCool R8000,2024,3/1/2024,754,E-com,100,2238151,5/1/2024,Kheda,65737690,17,1114588
WM-101SA,2024,9/1/2024,754,Normal Trade,100,2238590,9/1/2024,Bharcuh,11750455,45,5110425
CoolBox R1000,2022,6/1/2022,833,E-com,119,2238771,7/6/2022,Kelva,64151667,26,2000804
TurboConvection O9,2022,9/1/2022,242,Normal Trade,111,2238779,9/6/2022,Pathanamthitta,54024238,20,1660280
CleanAir-C100,2022,8/1/2022,189,MT,110,2239874,8/30/2022,Gharasana,55493733,41,3824439
FreshBreeze-300,2022,2/1/2022,303,Normal Trade,123,2239931,2/20/2022,Razole,18000657,2,244596
TurboConvection O9,2024,6/1/2024,189,Normal Trade,110,2240061,7/23/2024,Tonk,43694743,40,3320560
FreshFreeze R2800,2023,3/1/2023,765,MT,103,2240239,3/29/2023,Nangal,12656619,15,1184385
FreshBreeze-300,2023,3/1/2023,818,Normal Trade,109,2240405,3/18/2023,Pune,70990495,16,1956768
BakePro O3000,2022,9/1/2022,792,Normal Trade,106,2240805,9/16/2022,Panaji,56799461,30,1804410
FreshFreeze R2800,2024,11/1/2024,854,Normal Trade,115,2241156,11/18/2024,Rishikesh,NULL,28,2210852
LuxFridge R5000,2023,6/1/2023,338,MT,118,2241325,7/12/2023,Supela,53559761,61,5042748
UltraCool R8000,2024,6/1/2024,303,MT,124,2241975,6/2/2024,Nunna,73038907,54,3540456
